91;Послуги з технічного обслуговування систем центрального опалення адміністративної будівлі;11036406;Код ДК 021-2015 (CPV): 50700000-2 - Послуги з ремонту і технічного обслуговування будівельних конструкцій;26952;2021-06-01 12:15:00+03;Завершена;UA-2021-06-01-001215-a;Державна або публічна установа ;Закупівля без використання електронної системи
92;Послуги з технічного обслуговування електричного устаткування адміністративної будівлі;11035772;Код ДК 021-2015 (CPV): 50700000-2 - Послуги з ремонту і технічного обслуговування будівельних конструкцій;27124;2021-06-01 12:07:00+03;Завершена;UA-2021-06-01-005295-b;Державна або публічна установа ;Закупівля без використання електронної системи
93;Послуги з прибирання офісних приміщень;11035318;Код ДК 021-2015 (CPV): 90900000-6 - Послуги з прибирання та санітарно-гігієнічні послуги;29541;2021-06-01 11:49:00+03;Завершена;UA-2021-06-01-001111-a;Державна або публічна установа ;Закупівля без використання електронної системи
94;Мапи Запорізької області;11034797;Код ДК 021-2015 (CPV): 22100000-1 - Друковані книги, брошури та проспекти;3800;2021-06-01 11:36:00+03;Завершена;UA-2021-06-01-001244-c;Державна або публічна установа ;Закупівля без використання електронної системи
95;Державні прапори та прапори Запорізької області;11033747;Код ДК 021-2015 (CPV): 35800000-2 - Індивідуальне обмундирування та допоміжне екіпірування;29970;2021-06-01 11:17:00+03;Завершена;UA-2021-06-01-000912-a;Державна або публічна установа ;Закупівля без використання електронної системи
96;Технічне обслуговування та ремонт автошин і колесних дисків автомобілів;10435051;Код ДК 021-2015 (CPV): 50100000-6 - Послуги з ремонту, технічного обслуговування транспортних засобів і супутнього обладнання та супутні послуги;2000;2021-04-16 13:24:00+03;Завершена;UA-2021-04-16-003099-c;Державна або публічна установа ;Закупівля без використання електронної системи
97;Послуги на право користування аналітично-інформаційною системою ”Місцеві бюджети рівня розпорядника бюджетних коштів»” з подальшим адмініструванням, супроводженням і обслуговуванням;10032226;Код ДК 021-2015 (CPV): 72200000-7 - Послуги з програмування та консультаційні послуги з питань програмного забезпечення;2735;2021-03-22 12:34:00+02;Завершена;UA-2021-03-22-004037-a;Державна або публічна установа ;Закупівля без використання електронної системи
98;Послуги з супроводження інформаційно-телекомунікаційних систем;9658003;Код ДК 021-2015 (CPV): 72500000-0 - Послуги, пов’язані з комп’ютерними технологіями;15000;2021-02-25 15:07:00+02;Завершена;UA-2021-02-25-006169-a;Державна або публічна установа ;Закупівля без використання електронної системи
99;Техобслуговування і поточний ремонт офісної, копіювальної та комп’ютерної техніки;9657188;Код ДК 021-2015 (CPV): 50300000-8 - Ремонт, технічне обслуговування персональних комп’ютерів, офісного, телекомунікаційного та аудіовізуального обладнання, а також супутні послуги;30000;2021-02-25 14:53:00+02;Завершена;UA-2021-02-25-005908-b;Державна або публічна установа ;Закупівля без використання електронної системи
100;Надання телекомунікаційних послуг;9551065;Код ДК 021-2015 (CPV): 64200000-8 - Телекомунікаційні послуги;40000;2021-02-19 11:45:00+02;Завершена;UA-2021-02-19-001340-a;Державна або публічна установа ;Спрощені закупівлі
101;Послуги спецзв’язку;9255285;Код ДК 021-2015 (CPV): 64100000-7 - Поштові та кур’єрські послуги;6000;2021-02-03 16:15:00+02;Завершена;UA-2021-02-03-005643-c;Державна або публічна установа ;Закупівля без використання електронної системи
102;Послуги ІР-телефонії;9205621;Код ДК 021-2015 (CPV): 64200000-8 - Телекомунікаційні послуги;36000;2021-02-01 18:42:00+02;Завершена;UA-2021-02-01-002698-c;Державна або публічна установа ;Закупівля без використання електронної системи
103;Послуги з доступу до мережі Інтернет;9205395;Код ДК 021-2015 (CPV): 72400000-4 - Інтернет-послуги;30000;2021-02-01 18:30:00+02;Завершена;UA-2021-02-01-002680-c;Державна або публічна установа ;Закупівля без використання електронної системи
104;Послуги з висвітлення діяльності Запорізької обласної державної адміністрації друкованим способом;9181193;Код ДК 021-2015 (CPV): 79800000-2 - Друкарські та супутні послуги;6000;2021-01-29 22:35:00+02;Завершена;UA-2021-01-29-005811-c;Державна або публічна установа ;Закупівля без використання електронної системи
105;Послуги з медичного огляду;9181139;Код ДК 021-2015 (CPV): 99999999-9 - Не відображене в інших розділах;2500;2021-01-29 22:19:00+02;Завершена;UA-2021-01-29-012045-b;Державна або публічна установа ;Закупівля без використання електронної системи
106;Виготовлення печаток та штампів;9181050;Код ДК 021-2015 (CPV): 30100000-0 - Офісні техніка, устаткування та приладдя, крім комп’ютерів, принтерів та меблів;160;2021-01-29 21:55:00+02;Завершена;UA-2021-01-29-012028-b;Державна або публічна установа ;Закупівля без використання електронної системи
107;Авторський супровід програмного забезпечення;9180888;Код ДК 021-2015 (CPV): 72200000-7 - Послуги з програмування та консультаційні послуги з питань програмного забезпечення;22080;2021-01-29 21:22:00+02;Завершена;UA-2021-01-29-005773-c;Державна або публічна установа ;Закупівля без використання електронної системи
108;Послуги з прибирання офісних приміщень;9180619;Код ДК 021-2015 (CPV): 90900000-6 - Послуги з прибирання та санітарно-гігієнічні послуги;20400;2021-01-29 20:55:00+02;Завершена;UA-2021-01-29-011997-b;Державна або публічна установа ;Закупівля без використання електронної системи
109;Передплата періодичних видань;8110427;Код ДК 021-2015 (CPV): 64100000-7 - Поштові та кур’єрські послуги;6940.94;2020-11-23 16:07:00+02;Завершена;UA-2020-11-23-002948-b;Державна або публічна установа ;Закупівля без використання електронної системи
